session_name,session_id,session_time,metric,source_file,Time,HoloCapturerDecoder_color,HoloCapturerDecoder_geo,HoloCapturerPreparer,MediaReaderDual
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:00,14.1287857967601,14.2722744434354,13.9525035849214,12.3998722713957
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:05,14.1287857967601,14.2722744434354,13.9525035849214,12.3998722713957
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:10,14.1287857967601,14.2722744434354,13.9525035849214,12.3998722713957
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:15,14.1287857967601,14.2722744434354,13.9525035849214,12.3998722713957
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:20,14.1287857967601,14.2722744434354,13.9525035849214,12.3998722713957
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:25,14.5678809594348,14.4590876980781,14.3389370058474,14.4972861080406
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:30,16.1227552441988,16.8092129120661,17.2357619802334,15.8068271825172
Demo_Session_001_10_13,001,10_13,fps,Demo_Session_001_10_13_fps.csv,28:10:2025 09:25:35,14.9236774251939,14.2162319269411,14.960613771245,14.9842206489328
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:30:25,14.9965522926279,15.1378370872809,14.9254971421902,14.9689080810249
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:30:30,14.9611003909286,14.9816252782354,14.9949886747849,14.9665762556716
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:30:35,14.9469155472753,14.9499147954523,14.9710930649555,14.6195707099825
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:30:40,14.9111785825374,14.9280408717817,14.9185647763834,14.8906416387409
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:30:45,15.0156113921022,13.3778669784219,15.0262472185083,12.2156102110188
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:30:50,9.25945690263759,8.88589532948456,9.25324510088156,9.06483100340141
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:30:55,8.81002761258432,9.31657663666386,8.80084308165237,9.36642771594977
Demo_Session_002_11_29,002,11_29,fps,Demo_Session_002_11_29_fps.csv,28:10:2025 10:31:00,8.750323093527,8.81179115565417,8.7525122141308,8.93744237211637
